ID	SampleID	Species	Population	Source	SourceID	Region	Country	Season	CollDate	Type	Medium	RUGstack	RUGbox	RUGpos	Notes
1	RK001	Red Knot	canutus	ROM	DL 1	Taymyr	Russia	breed	7/1/1995	blood	ethanol	65	11	70	
2	RK002	Red Knot	canutus	ROM	DL 2	Taymyr	Russia	breed	7/1/1995	blood	ethanol	65	11	71	
3	RK003	Red Knot	canutus	ROM	TP1	Taymyr	Russia	breed	7/9/1994	blood	ethanol	65	12	27	
4	RK004	Red Knot	canutus	ROM	TP2	Taymyr	Russia	breed	7/8/1994	blood	ethanol	65	12	28	
5	RK005	Red Knot	canutus	ROM	TP4	Taymyr	Russia	breed	7/8/1994	blood	ethanol	65	12	29	
6	RK006	Red Knot	canutus	ROM	TP6	Taymyr	Russia	breed	7/7/1994	blood	ethanol	65	12	30	
7	RK007	Red Knot	canutus	ROM	TP9	Taymyr	Russia	breed	7/8/1994	blood	ethanol	65	12	31	
8	RK008	Red Knot	canutus	ROM	TP13	Taymyr	Russia	breed	7/9/1994	blood	ethanol	65	12	32	
9	RK009	Red Knot	canutus	ROM	TP15	Taymyr	Russia	breed	7/6/1994	blood	ethanol	65	12	33	
10	RK010	Red Knot	canutus	ROM	TP21	Taymyr	Russia	breed	7/23/1994	blood	ethanol	65	12	34	
11	RK011	Red Knot	canutus	ROM	TP24	Taymyr	Russia	breed	7/10/1994	blood	ethanol	65	12	35	
12	RK012	Red Knot	canutus	ROM	TP26	Taymyr	Russia	breed	7/20/1994	blood	ethanol	65	12	36	
13	RK013	Red Knot	canutus	ROM	TP27	Taymyr	Russia	breed	7/22/1994	blood	ethanol	65	12	37	
14	RK014	Red Knot	canutus	ROM	TP36	Taymyr	Russia	breed	7/15/1994	blood	ethanol	65	12	38	
15	RK015	Red Knot	canutus	ROM	TP42	Taymyr	Russia	breed	7/24/1994	blood	ethanol	65	12	39	
16	RK016	Red Knot	canutus	ROM	TP45	Taymyr	Russia	breed	7/30/1994	blood	ethanol	65	12	40	
17	RK017	Red Knot	islandica	ROM	80261053	Ellesmere Is	Canada	breed	6/1/1990	blood	ethanol	65	11	17	
18	RK018	Red Knot	islandica	ROM	80261055	Ellesmere Is	Canada	breed	6/1/1990	blood	ethanol	65	11	18	
